120, 0
16, 28
128, -1
8, 28
128, -1
16, 28
16, -1
16, 24
8, 28
4, 31
4, 19
8, 24
16, 24
16, 19
8, -1
16, 16
8, -1
16, 21
16, 23 
16, -1
16, 22
8, 21
12, 19
12, 28
12, 31
8, 33
16, 29
16, 31
16, -1
8, 28
16, 24
16, 26
16, 23
8, -1
8, 24
16, 24
16, 19
8, -1
16, 16
8, -1
16, 21
16, 23 
16, -1
16, 22
8, 21
12, 19
12, 28
12, 31
8, 33
16, 29
16, 31
16, -1
8, 28
16, 24
16, 26
16, 23
8, -1
8, -1
16, 31
16, 30
16, 29
8, 27
16, 28
16, -1
16, 19
16, 21
16, 24
16, -1
16, 21
16, 24
16, 26
8, -1
16, 31
16, 30
16, 29
8, 27
16, 28
16, -1
8, 36
128, -1
16, 36
128, -1
4, 36
8, -1
16, 31
16, 30
16, 29
8, 27
16, 28
16, -1
16, 19
16, 21
16, 24
16, -1
16, 21
16, 24
16, 26
8, -1
8, 27
16, -1
8, 26
16, 26
4, 24
4, -1
