120, 0
8, 28
8, 30
4, 31
8, 30
8, 28
4, 27
8, 28
8, 30
4, 23
8, 25
8, 27
4, 28
8, 26
8, 24
4, 23
8, 21
8, 19
4, 18
8, 19
8, 21
8, 23
8, 21
8, 19
8, 18
4, 16
8, 28
8, 30
4, 31
8, 30
8, 28
4, 27
8, 28
8, 30
4, 23
8, 25
8, 27
4, 28
8, 26
8, 24
4, 23
8, 21
8, 19
4, 18
8, 18
8, 19
64, -1
2, 19
4, 19
64, -1
8, 23
8, 19
4, 26
8, 21
8, 24
4, 23
8, 31
8, 26
4, 28
8, 23
8, 26
4, 24
8, 23
8, 21
4, 20
8, 21
8, 23
4, 24
8, 23
8, 21
64, -1
2, 21
4, 21
64, -1
8, 26
8, 21
4, 23
8, 31
8, 26
4, 28
8, 23
8, 26
4, 24
8, 33
8, 28
4, 30
8, 25
8, 28
4, 26
8, 25
8, 23
64, -1
32, 23
4, 22
8, 22
8, 23
64, -1
2, 23
4, 23
64, -1
8, 35
8, 30
4, 32
8, 30
8, 28
4, 33
8, 28
8, 31
4, 30
8, 28
8, 26
4, 31
8, 26
8, 29
4, 28
8, 33
8, 28
4, 30
8, 25
8, 28
4, 27
2, 23
8, 28
8, 23
4, 24
8, 26
8, 21
4, 23
8, 24
8, 19
4, 21
8, 23
8, 18
4, 19
8, 18
8, 16
4, 15
8, 16
8, 18
4, 19
8, 18
8, 16
64, -1
2, 16
4, 16
