120, 0
16, 18
128, -1
8, 18
128, -1
16, 18
16, -1
16, 18
8, 18
4, 19
4, 7
8, 19
16, 19
16, 16
8, -1
16, 12
8, -1
16, 17
16, 19 
16, -1
16, 18
8, 17
12, 16
12, 24
12, 28
8, 29
16, 26
16, 28
16, -1
8, 24
16, 21
16, 23
16, 19
8, -1
8, 19
16, 19
16, 16
8, -1
16, 12
8, -1
16, 17
16, 19 
16, -1
16, 18
8, 17
12, 16
12, 24
12, 28
8, 29
16, 26
16, 28
16, -1
8, 24
16, 21
16, 23
16, 19
8, -1
8, 12
16, 12
16, 19
8, -1
8, 24
8, 17
16, 17
16, 21
8, -1
8, 17
8, 12
16, 12
16, 16
8, 16
16, 19
16, 24
16, -1
8, 28
128, -1
16, 28
16, 27
16, 26
16, 24
16, 21
8, 12
16, 12
16, 19
8, -1
8, 24
8, 17
16, 17
16, 21
8, -1
8, 19
8, 20
128, -1
8, 20
16, -1
8, 22
16, 22
8, 24
16, 24
16, 17
8, 16
8, 19
